"",Name,Artist,Album,Popularity,Lyrics,Sentiment
259,Be My Lover (feat. La Bouche) - 2023 Mix,Hypaton,Be My Lover (feat. La Bouche) [2023 Mix],79,"1 contributorb my lover [ 2023 mix ] lyric [ intro : melani thornton ] la da da dee , da da , da da la da da dee , da da , da da la da da dee da la da da da dee da la da dee da , da da , da da [ v...",Feeling : Positive
239,Bye,Aditya Bhardwaj,Bye,74,1 contributorby lyricsmujh laga tha tu rukega meri zindagi mein jabs gaya hai zindagi se nahi hasi main aisa mere saath hi hota hai kyun har baari aata koi meri zindagi mein bina bole chala jaata ...,Feeling : Neutral
8,Hotel California - 2013 Remaster,Eagles,Hotel California (2013 Remaster),85,1 contributoreagl - hotel california ( 2013 remast ) ( türkçe çeviri ) lyricskaranlık bir çöl yolunda saçım da soğuk bir rüzgar colitaların ılık kokusu gökyüzün yükseliyor uzakta bir yerd parlak b...,Feeling : Neutral
19,Every Breath You Take - Remastered 2003,The Police,Synchronicity (Remastered),0,"1 contributoreveri breath you take - live in atlanta / 2003 stereo remast version lyricseveri breath you take and everi move you make everi bond you break , everi step you take , i 'll be watch yo...",Feeling : Positive
211,FLOWER,JISOO,ME,86,"1 contributorflow lyricseh-eh , eh , eh eh-eh , eh , eh [ vers 1 ] a-b-c , do-re-mi mankeum chakaetdeon na geu nunbichi ssak byeonhaetji eojjeomyeon i ttohan nanikka [ refrain ] nan paran nabicheo...",Feeling : Positive
138,Follow You Down - Edit,Gin Blossoms,Follow You Down,59,1 contributorfollow you down ( edit ) lyricsdid you see the sky ? i think it mean that we 've been lost mayb one less time is all we need i ca n't realli help it if my tongu 's all tie in knot jum...,Feeling : Négative
618,Give It To Me - Full Vocal Mix,Matt Sassari,Give It To Me (Full Vocal Mix),85,"1 contributorg it to me ( full vocal mix ) lyric [ choru : nelli furtado ] see us in the club see us in the club see us in the club see us in the club if you see us in the club , we 'll be actin '...",Feeling : Négative
3,God Only Knows - Mono,The Beach Boys,Pet Sounds (Original Mono & Stereo Mix),67,1 contributorgod onli know ( mono mix ) lyricsi may not alway love you but long as there are star abov you you never need to doubt it i 'll make you so sure about it god onli know what i 'd be wit...,Feeling : Positive
96,Tha Crossroads,Bone Thugs-N-Harmony,E. 1999 Eternal,70,1 contributorhip-hop ’ s mourning/ remembr playlist lyricsthi playlist wa creat to better understand hip-hop 's abil to memori and help folk deal with loss 1. self-destruct - krs-one & stop the vi...,Feeling : Positive
56,House of the Rising Sun,The Animals,Most of the Animals,64,"1 contributorhous of the rise sun lyricsther is a hous in new orlean they call the rise sun and it 's been the ruin of mani a poor boy and god , i know i 'm one my mother wa a tailor sew my new bl...",Feeling : Négative
62,I Can't Stop Loving You,Ray Charles Orchestra,I Can't Stop Loving You,13,"1 contributori can ’ t stop love you lyricsi ca n't stop love you , i 've made up my mind to live in memori of the lonesom time i ca n't stop want you , yeah , it 's useless to say so i 'll just l...",Feeling : Positive
163,"If You Ever (feat. Gabrielle) - Smoove Mix 7""",East 17,The Very Best Of East 17,49,1 contributorif you ever - smoov mix 7 '' lyricsth veri first time that i saw your brown eye your lip said hello and i said hi i knew right then you were the one but i wa caught up in physic attra...,Feeling : Positive
721,Lay It All on Me (feat. Ed Sheeran),Rudimental,Lay It All on Me (feat. Ed Sheeran),44,1 contributorlay it all on me feat . ed sheeran ( sultan + shepard remix ) lyric [ intro ] ( if ) ( if you 're hurt ) ( if ) ( if you 're hurt ) [ vers 1 : ed sheeran ] all alon as you look throug...,Feeling : Négative
727,Lay Me Down - Single Version,Sam Smith,Lay Me Down,52,"1 contributorlay me down - singl version lyricsy i do , i believ that one day i will be , where i wa right there , right next to you and it 's hard , the day just seem so dark the moon , the star ...",Feeling : Positive
51,(We're Gonna) Rock Around The Clock - Single Version,Bill Haley & His Comets,Bill Haley's Greatest Hits,42,1 contributororigin rock n ’ roll lyricssist rosetta tharp - strang thing happen everi day chuck berri - johnni b. good littl richard - tutti frutti elvi presley - blue sued shoe sister rosetta th...,Feeling : Positive
48,My Generation - Stereo Version,The Who,My Generation,0,1 contributororigin rock n ’ roll lyricssist rosetta tharp - strang thing happen everi day chuck berri - johnni b. good littl richard - tutti frutti elvi presley - blue sued shoe sister rosetta th...,Feeling : Positive
11,Johnny B. Goode - Single Version,Chuck Berry,The Definitive Collection,0,1 contributororigin rock n ’ roll lyricssist rosetta tharp - strang thing happen everi day chuck berri - johnni b. good littl richard - tutti frutti elvi presley - blue sued shoe sister rosetta th...,Feeling : Positive
730,Rather Be (feat. Jess Glynne),Clean Bandit,Rather Be (feat. Jess Glynne),75,"1 contributorrath be ( feat . jess glynn ) - cash cash x valley remix lyricsw 're a thousand mile from comfort , we have travel land and sea but as long as you are with me , there 's no place i 'd...",Feeling : Négative
428,Reflections,The Band That Saved The World,Name in Lights,33,"1 contributorsalsa smurf lyric [ vers 1 , apollo ] i walk london with the [ ? ] five finger of death leav mc with five finger or less sex mel b [ ? ] finger the rest [ ? ] i piss on your face and ...",Feeling : Positive
568,Maria Maria (feat. The Product G&B),Santana,Supernatural (Remastered),85,"1 contributorsantana - maria maria ( türkçe çeviri ) lyric [ wyclef jean ] hanımlar ve beyler , carlos'un sesi için se sistemlerinizin sesini açın santana ve g & b , refuge camp ’ ten çıkan bir es...",Feeling : Positive
